Formatted Date,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Temperature (C),Rain
2023-04-01 00:00:00.000 +0200,7.4,0.89,14.1,251.0,15.8,0.0,1015.13,9.5,1
2023-04-01 01:00:00.000 +0200,7.2,0.86,14.3,259.0,15.8,0.0,1015.63,9.4,1
2023-04-01 02:00:00.000 +0200,9.4,0.89,3.9,204.0,15.0,0.0,1015.94,9.4,1
2023-04-01 03:00:00.000 +0200,5.9,0.83,14.1,269.0,15.8,0.0,1016.41,8.3,1
2023-04-01 04:00:00.000 +0200,7.0,0.83,11.0,259.0,15.8,0.0,1016.51,8.8,1
2023-04-01 05:00:00.000 +0200,7.1,0.85,14.0,258.0,15.0,0.0,1016.66,9.2,1
2023-04-01 06:00:00.000 +0200,5.5,0.95,12.4,259.0,10.0,0.0,1016.72,7.7,1
2023-04-01 07:00:00.000 +0200,6.5,0.89,14.2,260.0,10.0,0.0,1016.84,8.8,1
2023-04-01 08:00:00.000 +0200,10.8,0.82,11.3,259.0,10.0,0.0,1017.37,10.8,1
2023-04-01 09:00:00.000 +0200,13.8,0.72,12.5,279.0,10.0,0.0,1017.22,13.8,1
2023-04-01 10:00:00.000 +0200,16.0,0.67,17.6,290.0,11.2,0.0,1017.42,16.0,1
2023-04-01 11:00:00.000 +0200,17.1,0.54,19.8,316.0,11.4,0.0,1017.74,17.1,1
2023-04-01 12:00:00.000 +0200,17.8,0.55,21.9,281.0,11.3,0.0,1017.59,17.8,1
2023-04-01 13:00:00.000 +0200,17.3,0.51,20.7,289.0,11.3,0.0,1017.48,17.3,1
2023-04-01 14:00:00.000 +0200,18.9,0.47,15.4,262.0,11.4,0.0,1017.17,18.9,1
2023-04-01 15:00:00.000 +0200,18.9,0.46,10.4,288.0,11.3,0.0,1016.47,18.9,1
2023-04-01 16:00:00.000 +0200,15.4,0.6,14.4,251.0,11.3,0.0,1016.15,15.4,1
2023-04-01 17:00:00.000 +0200,15.6,0.63,11.2,230.0,11.4,0.0,1016.17,15.6,1
2023-04-01 18:00:00.000 +0200,14.3,0.69,8.5,163.0,11.2,0.0,1015.82,14.3,1
2023-04-01 19:00:00.000 +0200,13.1,0.7,7.6,139.0,11.2,0.0,1015.83,13.1,1
2023-04-01 20:00:00.000 +0200,11.6,0.77,7.4,147.0,11.0,0.0,1015.85,11.6,1
2023-04-01 21:00:00.000 +0200,11.2,0.76,4.9,160.0,10.0,0.0,1015.77,11.2,1
2023-04-01 22:00:00.000 +0200,10.1,0.79,6.6,163.0,15.8,0.0,1015.4,10.1,1
2023-04-01 23:00:00.000 +0200,10.2,0.77,3.9,152.0,15.0,0.0,1015.51,10.2,1
2023-04-10 00:00:00.000 +0200,10.4,0.62,17.0,150.0,15.8,0.0,1014.4,10.4,1
2023-04-10 01:00:00.000 +0200,7.6,0.66,17.2,149.0,15.8,0.0,1014.2,9.9,1
2023-04-10 02:00:00.000 +0200,11.2,0.8,10.8,163.0,15.0,0.0,1008.71,11.2,1
2023-04-10 03:00:00.000 +0200,5.0,0.79,11.1,180.0,15.8,0.0,1014.47,7.2,1
2023-04-10 04:00:00.000 +0200,4.8,0.82,6.6,161.0,15.8,0.0,1014.45,6.1,1
2023-04-10 05:00:00.000 +0200,4.3,0.83,13.0,135.0,15.0,0.0,1014.49,6.8,1
2023-04-10 06:00:00.000 +0200,5.2,0.85,11.2,141.0,6.2,0.0,1014.52,7.3,1
2023-04-10 07:00:00.000 +0200,5.5,0.83,12.8,150.0,8.1,0.0,1014.16,7.8,1
2023-04-10 08:00:00.000 +0200,7.9,0.78,13.7,160.0,10.0,0.0,1014.24,9.9,1
2023-04-10 09:00:00.000 +0200,12.2,0.72,15.6,150.0,10.0,0.0,1014.25,12.2,1
2023-04-10 10:00:00.000 +0200,15.1,0.61,17.5,151.0,10.0,0.0,1013.96,15.1,1
2023-04-10 11:00:00.000 +0200,17.4,0.52,22.8,169.0,10.0,0.0,1013.85,17.4,1
2023-04-10 12:00:00.000 +0200,19.0,0.46,23.9,169.0,10.0,0.0,1013.04,19.0,1
2023-04-10 13:00:00.000 +0200,20.0,0.4,28.4,170.0,10.0,0.0,1012.22,20.0,1
2023-04-10 14:00:00.000 +0200,21.1,0.4,26.9,187.0,10.4,0.0,1011.44,21.1,1
